Suburb,Address,Rooms,Price,Method,Type,SellerG,Date,Distance,Regionname,Propertycount,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Lat,Lng
Abbotsford,85 Turner St,2,1480000,S,h,Biggin,3/12/2016,2.5,Northern Metropolitan,4019,3067,2,1,1,202,2022,Yarra,-37.7996,144.9984
Abbotsford,25 Bloomburg St,2,1035000,S,h,Biggin,4/2/2016,2.5,Northern Metropolitan,4019,3067,2,1,0,156,1900,Yarra,-37.8079,144.9934
Abbotsford,5 Charles St,3,1465000,SP,h,Biggin,4/3/2017,2.5,Northern Metropolitan,4019,3067,3,2,0,134,1900,Yarra,-37.8093,144.9944
Abbotsford,40 Federation La,3,850000,PI,h,Biggin,4/3/2017,2.5,Northern Metropolitan,4019,3067,3,2,1,94,2022,Yarra,-37.7969,144.9969
Abbotsford,55a Park St,4,1600000,VB,h,Nelson,4/6/2016,2.5,Northern Metropolitan,4019,3067,3,1,2,120,2014,Yarra,-37.8072,144.9941
Abbotsford,129 Charles St,2,941000,S,h,Jellis,7/5/2016,2.5,Northern Metropolitan,4019,3067,2,1,0,181,2022,Yarra,-37.8041,144.9953
Abbotsford,124 Yarra St,3,1876000,S,h,Nelson,7/5/2016,2.5,Northern Metropolitan,4019,3067,4,2,0,245,1910,Yarra,-37.8024,144.9993
Abbotsford,98 Charles St,2,1636000,S,h,Nelson,8/10/2016,2.5,Northern Metropolitan,4019,3067,2,1,2,256,1890,Yarra,-37.806,144.9954
Abbotsford,6/241 Nicholson St,1,300000,S,u,Biggin,8/10/2016,2.5,Northern Metropolitan,4019,3067,1,1,1,0,2022,Yarra,-37.8008,144.9973
Abbotsford,10 Valiant St,2,1097000,S,h,Biggin,8/10/2016,2.5,Northern Metropolitan,4019,3067,3,1,2,220,1900,Yarra,-37.801,144.9989
Abbotsford,411/8 Grosvenor St,2,700000,VB,u,Jellis,12/11/2016,2.5,Northern Metropolitan,4019,3067,2,2,1,0,2022,Yarra,-37.811,145.0067
Abbotsford,40 Nicholson St,3,1350000,VB,h,Nelson,12/11/2016,2.5,Northern Metropolitan,4019,3067,3,2,2,214,2005,Yarra,-37.8085,144.9964
Abbotsford,123/56 Nicholson St,2,750000,S,u,Biggin,12/11/2016,2.5,Northern Metropolitan,4019,3067,2,2,1,0,2009,Yarra,-37.8078,144.9965
Abbotsford,45 William St,2,1172500,S,h,Biggin,13/08/2016,2.5,Northern Metropolitan,4019,3067,2,1,1,195,2022,Yarra,-37.8084,144.9973
Abbotsford,7/20 Abbotsford St,1,441000,SP,u,Greg,14/05/2016,2.5,Northern Metropolitan,4019,3067,1,1,1,0,2022,Yarra,-37.8016,144.9988
Abbotsford,16 William St,2,1310000,S,h,Jellis,15/10/2016,2.5,Northern Metropolitan,4019,3067,2,1,2,238,1890,Yarra,-37.809,144.9976
Abbotsford,42 Henry St,3,1200000,S,h,Jellis,16/07/2016,2.5,Northern Metropolitan,4019,3067,3,2,1,113,1880,Yarra,-37.8056,144.993
Abbotsford,78 Yarra St,3,1176500,S,h,LITTLE,16/07/2016,2.5,Northern Metropolitan,4019,3067,2,1,1,138,1890,Yarra,-37.8021,144.9965
Abbotsford,196 Nicholson St,3,955000,S,h,Collins,17/09/2016,2.5,Northern Metropolitan,4019,3067,3,1,0,183,2022,Yarra,-37.8022,144.9975
Abbotsford,42 Valiant St,2,890000,S,h,Biggin,17/09/2016,2.5,Northern Metropolitan,4019,3067,2,1,1,150,1985,Yarra,-37.8011,145.0004
Abbotsford,3/72 Charles St,4,1330000,PI,h,Kay,18/03/2017,2.5,Northern Metropolitan,4019,3067,4,2,2,780,1900,Yarra,-37.8073,144.9952
Abbotsford,13/11 Nicholson St,3,900000,S,t,Beller,18/03/2017,2.5,Northern Metropolitan,4019,3067,3,2,2,0,2010,Yarra,-37.8093,144.9959
Abbotsford,138/56 Nicholson St,3,1090000,S,u,Jellis,18/03/2017,2.5,Northern Metropolitan,4019,3067,3,2,2,4290,2022,Yarra,-37.8078,144.9965
